Source ID,Source Name,Latitude (N),"Longitude (W, 360)",JIRAM Detections by Orbit,Max Spectral Radiance (GW/µm),Max Unsaturated Spectral Radiance (GW/µm),Average Unsaturated Spectral Radiance (GW/µm),Min Unsaturated Spectral Radiance (GW/µm),Earlier Detections,Notes
JRM157,Kami-Nari Patera,-9,234.7,"7, 37i",0.545426022,0.545426022,0.46156887,0.377711718,,Close to JRM158
JRM158,Reiden Patera,-13.4,235.3,"10, 24, 25i, 32i, 37i, 40",3.77160561,3.77160561,0.931892989,0.631104692,"NIMS, PPR, LEISA, Cantrall2018",
JRM159,East Girru,22,235.6,"7, 25i, 37i, 41, 43",10.70754612,10.70754612,1.42970628,0.782848629,"LEISA, Cantrall2018",
JRM160,Girru Patera,22.5,239.6,"7, 24, 25i, 32i, 33, 37i, 40, 41, 43",8.916318253,6.058814708,4.026149892,1.020536933,"NIMS, PPR",
JRM161,Lei-Kung M,72.6,240.5,"25i, 41, 43",0.317535365,0.317535365,0.152800579,0.114514602,,
JRM162,Llew Patera,12,242.1,"7, 24, 25i, 32i, 33, 37i, 40, 43",1.071089291,1.071089291,0.603019506,0.138446288,"NIMS, PPR",
JRM163,,-35.1,242.2,"9, 10, 24, 25o, 27o, 32i, 32o, 33, 35, 37i, 37o, 40",36.16814011,36.16814011,7.361771926,3.826498151,deKleer2019,
JRM164,Pillan Patera,-11.5,242.9,"7, 10, 24, 25i, 27o, 32i, 33, 37i, 40",23.37100052,16.53699971,4.463966998,2.005735035,"NIMS, PPR, Cantrall2018",
JRM165,Heiseb Patera,29.7,243.8,"7, 16, 24, 25i, 32i, 37i, 43",0.679409413,0.679409413,0.312286294,0.18466461,NIMS,
JRM166,Olafat Patera,-62.7,244.1,"9, 10, 25o, 27o, 32i, 32o, 33, 35, 37o, 40",2.716991497,2.716991497,1.145295327,0.229462525,NIMS,
JRM167,Lei-Kung D,57.6,247,"7, 16, 24, 25i, 32i, 37i, 41, 43",0.186206755,0.186206755,0.12552098,0.043290595,,
JRM168,Chors Patera,68.2,249.3,"7, 16, 17, 18, 24, 25i, 26, 32i, 33, 37i, 40, 41, 43",4.349088419,4.273718461,2.056029914,0.714079095,"NIMS, PPR, Cantrall2018",
JRM169,PFu1237,38.2,251.1,"7, 16, 25i",1.516370744,1.516370744,0.685873579,0.077447118,,
JRM170,PV27,-38.6,254.2,25i,0.083435534,0.083435534,0.083435534,0.083435534,deKleer2019,
JRM171,,18.9,254.2,"32i, 37i",0.198307932,0.198307932,0.160885316,0.1234627,,
JRM172,Lei-Kung K,75.2,255.3,"25i, 37i, 41, 43",0.313633868,0.313633868,0.106588873,0.090394001,,
