Source ID,Source Name,Latitude (N),"Longitude (W, 360)",JIRAM Detections by Orbit,Max Spectral Radiance (GW/µm),Max Unsaturated Spectral Radiance (GW/µm),Average Unsaturated Spectral Radiance (GW/µm),Min Unsaturated Spectral Radiance (GW/µm),Earlier Detections,Notes
JRM037,,-8.4,52.2,"17, 18, 20, 26, 27i, 32o, 35, 41",0.69650179,0.69650179,0.27910431,0.104842716,,
JRM038,,70.6,52.7,"41, 43",0.613192696,0.613192696,0.41172642,0.210260144,,
JRM039,Masubi,-44.8,55.1,"5, 9, 10, 11, 20, 25o, 27i, 27o, 32o, 35, 37o",146.8995314,11.53406996,7.926259198,4.137565117,"NIMS, LEISA, Cantrall2018",
JRM040,,26.1,57.7,"11, 17, 18, 20, 26, 27i, 41, 43",0.208840729,0.208840729,0.141747366,0.06299988,,
JRM041,,52.2,59.8,"41, 43",0.0377249,0.0377249,0.029708401,0.021691901,,
JRM042,Kotar Patera,10.6,61,"5, 9, 11, 16, 17, 18, 20, 26, 27i, 41, 43",5.531267683,5.531267683,2.474255105,1.786142776,"NIMS, deKleer2019",
JRM043,Shamshu Patera,-10.3,62.8,"5, 9, 11, 17, 18, 20, 26, 27i, 32o, 35",4.951815095,4.951815095,2.323696935,0.361515356,"NIMS, deKleer2019",
JRM044,P232?,18.8,63.1,"16, 17, 18, 20, 26, 27i, 41",0.229203235,0.229203235,0.146845956,0.041345762,,
JRM045,P213,-26.5,63.8,"5, 17, 27i",0.20974499,0.20974499,0.14578341,0.122935135,,
JRM046,Tonatiuh B,56.5,65.5,"7, 11, 16, 17, 18, 24, 25i, 26, 27i, 41, 43",16.18786879,4.565713738,3.163947043,1.156162582,Cantrall2018,Name approved by IAU Mar 2023. Eastern end of Tonatiuh
JRM047,P203,-49.3,71.8,"9, 32o, 35",0.583714184,0.583714184,0.335752614,0.330460516,"NIMS, deKleer2019",
JRM048,,-83,73,"10, 25o, 27o, 32o, 35, 37o",5.814549562,5.814549562,2.19811036,0.026588997,,
JRM256,Zal Patera B,39.9,73.1,"25i, 41, 43",5.853512373,5.853512373,0.414739623,0.341070734,NIMS,Close to JRM050
JRM049,P183,34.5,74.5,"17, 18, 26, 41, 43",0.558879538,0.558879538,0.340582901,0.009051998,NIMS,Close to JRM050
JRM051,P233,21.1,75.3,"11, 16, 17, 18, 20, 26, 27i, 41, 43",0.468466375,0.468466375,0.323216934,0.142790954,"NIMS, LEISA",
JRM052,P212,-26.5,75.5,"17, 20",0.497371878,0.497371878,0.361798957,0.226226035,,
JRM053,Tawhaki Patera,2.9,75.8,"5, 9, 11, 16, 17, 18, 20, 26, 27i, 35, 41",16.94971764,5.954251506,3.440371357,0.954433485,"NIMS, LEISA, Cantrall2018",
JRM054,P185,-13.6,75.9,"16, 17, 18, 27i",0.402250018,0.402250018,0.208182778,0.06520556,NIMS,
JRM050,Zal Patera A,39.1,76.3,"7, 11, 16, 17, 18, 20, 25i, 26, 27i, 41, 43",14.43130284,10.57258128,8.844007973,3.673210608,"NIMS, LEISA, Cantrall2018",
JRM055,Tonatiuh C,52,77.8,"7, 11, 17, 18, 25i, 27i, 41, 43",18.02554255,4.120946163,2.431883634,1.428485104,,Name approved by IAU Mar 2023. Center hotspot of Tonatiuh
JRM056,P224,-19.5,82.6,"5, 16, 17, 18, 26, 35",10.45805044,10.45805044,0.678502866,0.267948968,"NIMS, Cantrall2018",
JRM057,Tonatiuh A,51.6,84.4,"16, 17, 18, 24, 25i, 26, 27i, 41, 43",21.71931885,8.351726939,6.760855999,6.689347448,,Name approved by IAU Mar 2023. Western end of Tonatiuh. Radiance on 16 and 26 includes Tonatiuh C
JRM058,P225,-11.3,84.7,"17, 18",0.142071959,0.142071959,0.132802894,0.123533828,NIMS,
JRM059,E Ekhi,-29.2,86.3,"9, 10, 17, 18",1.690942374,1.690942374,0.526490915,0.260624656,NIMS?,
JRM060,Verbti Patera,37.7,87.6,"17, 28, 26, 41, 43",0.578292588,0.578292588,0.493553809,0.375456181,NIMS,Name approved by IAU Mar 2023
JRM061,Estan Patera,21.6,87.7,"17, 18, 41, 43",0.526353493,0.526353493,0.334741411,0.184219853,"NIMS, Cantrall2018",
JRM062,P223,-19.5,88.2,17,0.087233462,0.087233462,0.087233462,0.087233462,NIMS,
JRM063,Gish Bar Patera,15.6,89.7,"7, 11, 16, 17, 18, 20, 26, 27i, 41, 43",8.533474667,7.784290523,2.855793895,0.684189932,"NIMS, Cantrall2018",
JRM064,Asis Patera,44.1,92.1,"7, 11, 16, 17, 18, 25i, 26, 27i, 41, 43",13.54322879,2.198354283,1.501281334,1.027821987,"NIMS, Cantrall2018",Name approved by IAU Mar 2023
JRM065,P207,-37.2,93.2,"27o, 35",1.106440049,1.106440049,0.938973709,0.771507368,"NIMS, Cantrall2018",
JRM066,Pajonn Patera,83.5,93.3,"7, 11, 16, 17, 18, 24, 25i, 26, 27i, 32i, 41, 43",0.585332641,0.585332641,0.311026651,0.125203884,NIMS,Name approved by IAU Mar 2023
JRM067,P226,6,97.3,"16, 17, 18, 20, 26, 27i, 35, 41",2.700550773,2.700550773,0.877938916,0.203744998,"NIMS, Cantrall2018?",
JRM068,Sigurd Patera,-5.9,97.9,"16, 17, 18",0.755173714,0.755173714,0.716443665,0.638472744,"NIMS, Cantrall2018",
JRM069,Shango Patera,33.8,98.6,"7, 11, 16, 17, 18, 20, 26, 27i, 41, 43",4.64778359,4.64778359,1.894884107,0.884955084,"NIMS, Cantrall2018",
JRM070,Itzamna Patera,-16.2,99.1,"16, 17, 18, 35",2.240252836,2.240252836,2.065500327,1.212662581,"NIMS, Cantrall2018",
JRM071,Arusha Patera,-39.1,101.3,"9, 10, 16, 27i, 35",12.15274532,3.663740135,1.720024788,1.545020833,"NIMS, deKleer2019",
JRM072,Catha Patera,-53.8,101.4,"5, 9, 10, 25o, 27o, 32o, 35",1.519695462,1.519695462,1.315841422,0.77742475,"NIMS, Cantrall2018",
JRM266,PV2,-25.1,101.5,16,0.074110467,0.074110467,0.074110467,0.074110467,,
JRM073,Monan Patera,19.6,104.7,"7, 16, 17, 18, 26, 27i, 41, 43",3.406889157,3.406889157,2.292590901,0.732185775,NIMS,
JRM074,Ah Peku Patera,10.4,106.9,"16, 17, 18, 26, 41, 43",1.828045806,1.828045806,0.65951472,0.205044527,NIMS,
JRM075,P197,-47.4,108.7,10,0.648349087,0.648349087,0.648349087,0.648349087,"NIMS, Cantrall2018",
JRM076,P216,-9.2,108.8,"16, 17, 35",0.429920863,0.429920863,0.086183659,0.057264407,NIMS?,
JRM077,Amirani A,21.8,114.8,"7, 11, 16, 17, 18, 26, 41, 43",15.368286,15.368286,13.45422254,6.24880329,"NIMS, LEISA, Cantrall2018",
JRM078,Amirani B (P235?),30.5,115.2,"17, 18, 41, 43",0.293378841,0.293378841,0.208071786,0.113578188,NIMS,Close to JRM077
JRM257,Amirani C (P61?),18.4,117.3,43,2.135243728,2.135243728,2.135243728,2.135243728,NIMS,Close to JRM077
JRM079,Tvashtar B (P155),59.3,118,"7, 16, 41, 43",0.208353593,0.208353593,0.135225035,0.070601413,NIMS,Close to JRM084
JRM080,Dusura Patera,37.2,118.9,"16, 17, 18, 26, 41, 43",46.91220084,3.243808468,1.121161196,0.125674886,"NIMS, Cantrall2018",
JRM081,Emakong Patera,-3.4,119.8,"16, 17, 18",0.172501404,0.172501404,0.144055092,0.091802088,NIMS,
JRM082,P193,-54.7,120.1,"9, 10, 27o, 35",2.179357026,2.179357026,0.650674119,0.166013303,"NIMS, LEISA, Cantrall2018?",
JRM083,Tvashtar C (P156),60.9,120.3,"41, 43",0.035290408,0.035290408,0.026427738,0.017565068,NIMS,Close to JRM084
JRM084,Tvashtar A,62.8,123.5,"7, 11, 16, 17, 18, 24, 25i, 26, 27i, 37i, 41, 43",21.76269603,5.592564106,2.566189346,0.521339658,"NIMS, LEISA, Cantrall2018",
JRM085,Maui Patera,16.4,124,"16, 17, 18, 41, 43",0.773780445,0.773780445,0.620114357,0.085562475,NIMS,
JRM261,Tvashtar D,66.2,124.4,43,0.128194565,0.128194565,0.128194565,0.128194565,NIMS,Close to JRM084
JRM086,P52,2,124.6,17,0.059471675,0.059471675,0.059471675,0.059471675,NIMS,
JRM262,,70.5,125.4,43,0.020393038,0.020393038,0.020393038,0.020393038,,
JRM087,P95,-12,128,"16, 17, 35",6.73802689,6.73802689,0.609446344,0.074949264,"NIMS, deKleer2019",
JRM088,Malik Patera,-34.6,128.9,"10, 16, 27o, 35",21.25452457,5.993667342,5.398695305,1.436655298,"NIMS, LEISA, Cantrall2018",
JRM259,,1.3,129.5,"18, 43",13.08960892,13.08960892,6.577772902,0.065936882,,
JRM089,P239,31.6,130.3,"17, 43",0.079867774,0.079867774,0.066836891,0.053806009,,
JRM090,Yeloje Patera A,20,131.5,"7, 16, 17, 18, 41, 43",4.005470451,1.854469713,0.931004109,0.074327512,"NIMS, deKleer2019",Name approved by IAU Mar 2023
JRM091,Yeloje Patera B,20.7,133,41,0.731834716,0.731834716,0.731834716,0.731834716,,"Close to JRM090, Name approved by IAU Mar 2023"
JRM092,,-2.5,133.2,"16, 17",0.252992459,0.252992459,0.193322221,0.133651984,NIMS?,
JRM093,Tien Mu Patera,11.9,134.3,"16, 17",0.128753,0.128753,0.09864685,0.068540701,NIMS,
JRM094,Thor,40,134.5,"7, 16, 17, 18, 25i, 26, 41, 43",3.014187383,3.014187383,2.225554799,1.426911789,"NIMS, LEISA, Cantrall2018",
JRM251,P165,5.2,135.8,16,0.043485869,0.043485869,0.043485869,0.043485869,NIMS,
JRM258,Camaxtli Patera,15.3,136.8,43,0.142817,0.142817,0.142817,0.142817,NIMS,
JRM095,P63,35.3,137.3,"7, 16, 17, 18, 25i, 41, 43",1.935826928,1.935826928,0.892895717,0.466577074,NIMS,
JRM096,Ruaomoko Patera,14.5,139.6,16,0.099958592,0.099958592,0.099958592,0.099958592,NIMS,
JRM097,Tupan Patera,-18.9,141.1,"7, 16, 17, 27o, 35",26.65878906,26.65878906,4.950433954,2.956252594,"NIMS, LEISA, Cantrall2018",
JRM098,P151,39.2,141.4,"16, 17, 41, 43",0.508606596,0.508606596,0.213025288,0.09409478,NIMS,
JRM099,Mixcoatl Fluctus,-45.8,141.5,"10, 16, 25o, 27o, 35",13.0784212,13.0784212,4.740480797,1.583069025,"NIMS?, Cantrall2018",
JRM100,PV3,60.5,143.4,"7, 16, 25i, 41, 43",0.548867024,0.548867024,0.142853178,0.076502801,NIMS,
JRM101,E. Surya,22.3,145.6,"7, 16, 17, 18, 41, 43",1.409561451,1.409561451,0.742762571,0.301630156,"NIMS, Cantrall2018",
JRM102,Arinna Fluctus,31.1,148.6,"7, 16, 17, 18, 25i, 41, 43",1.022961174,1.022961174,0.642755543,0.401271088,NIMS,
JRM103,Sobo Fluctus,14.1,150.5,"7, 16, 17, 18",1.136917946,1.136917946,0.920035945,0.625653213,"NIMS, Cantrall2018",
JRM104,Shamash Patera,-35.4,152.4,"10, 16, 27o, 35",1.756231949,1.756231949,1.039191478,0.670479781,"NIMS, LEISA, Cantrall2018",
JRM106,Prometheus A,-1.3,152.5,"7, 16, 17, 43",7.578371942,5.396511671,4.61710746,3.837703249,"NIMS, LEISA, Cantrall2018",
JRM105,,69.2,153.6,"7, 17, 25i, 41, 43",0.341234233,0.341234233,0.020028672,0.014318748,,
JRM260,Prometheus B,-1.6,155.3,43,0.580765208,0.580765208,0.580765208,0.580765208,NIMS,Close to JRM106
JRM253,Chaac Patera,10.6,157,16,0.091305853,0.091305853,0.091305853,0.091305853,"NIMS, Cantrall2018",
JRM107,Illyrikon C,-64,157.7,"10, 27o, 35",0.178531004,0.178531004,0.161380234,0.114739897,,
JRM108,Tohil Patera,-26.3,157.8,"16, 27o, 35",5.330980387,5.330980387,1.85503568,1.002024103,NIMS,
JRM254,Reshef Patera,27.7,158.3,16,0.03339084,0.03339084,0.03339084,0.03339084,NIMS,
JRM109,P243,56.7,161.2,7,0.010748391,0.010748391,0.010748391,0.010748391,,
JRM110,Culann Patera,-18.5,161.9,"7, 10, 16, 27o",7.030581962,7.030581962,5.368999025,3.519886397,"NIMS, LEISA, Cantrall2018",
JRM111,,46,162.6,"7, 43",0.024629164,0.024629164,0.023799975,0.022970786,,
JRM112,Thomagata Patera,25.5,165.5,7,0.052488537,0.052488537,0.052488537,0.052488537,,
JRM252,Michabo Patera,0.9,168.5,16,0.02927584,0.02927584,0.02927584,0.02927584,,
JRM113,Volund B,32.6,173.7,"16, 17, 18, 25i, 37i, 41, 43",9.859967645,8.250800636,2.618288972,1.015535654,NIMS,Two spots in PJ43
JRM114,Volund A,26.5,174,"7, 16, 17, 25i, 35i, 37i, 43",7.291559679,4.667067146,2.91230922,2.071602966,"NIMS, Cantrall2018",Three spots in PJ43
JRM116,Odqan Patera,-41.9,174.4,"10, 16, 27o, 32i, 35",0.868348051,0.868348051,0.642518928,0.334619947,"NIMS, LEISA, Cantrall2018",
JRM115,Zamama,18.8,174.4,"7, 16, 17, 25i, 32i, 37i, 43",1.916032986,1.916032986,1.551376953,0.72859346,"NIMS, LEISA, Cantrall2018",
JRM117,,49.5,176,"7, 16, 17, 18, 25i, 41, 43",0.103992819,0.103992819,0.066923334,0.021005776,,
JRM118,Wanajo Patera,-59,178.5,"10, 25o, 27o, 37o",6.355844689,2.581796976,1.856941647,0.274795738,NIMS,
