metric,occurrence_event_count,max_normalized_intensity,coverage_corrected_event_rate,coverage_corrected_intensity,persistence_score
occurrence_event_count,1.0,0.9999394646929929,0.2573815213731217,-0.4241185727887749,
max_normalized_intensity,0.9999394646929929,1.0,0.2306007270601861,0.6097565928063372,
coverage_corrected_event_rate,0.2573815213731217,0.2306007270601861,1.0,0.23059714450745125,
coverage_corrected_intensity,-0.4241185727887749,0.6097565928063372,0.23059714450745125,1.0,
persistence_score,,,,,
