lat_band,named_hotspot_cells,event_cells,occurrence_events,normalized_intensity,coverage_corrected_intensity,observation_count,fraction_normalized_intensity,fraction_coverage_corrected
south polar,7,17,21.0,13.94016290726817,8.015977443609023,21.0,0.01166540829060098,0.02044034936579575
south mid-latitude,35,278,548.0,271.81495294557016,105.6950677924611,548.0,0.2274602116699332,0.26951723942809364
south low-latitude,42,262,657.0,315.544207889073,84.77117439536855,663.0,0.2640537304511071,0.2161623374042327
north low-latitude,50,285,668.0,347.29742413059483,99.30119795471123,681.0,0.2906254595235103,0.25321318490667905
north mid-latitude,29,213,423.0,216.06991879416054,83.11059773105937,436.0,0.18081164752649417,0.21192794834738363
north polar,9,33,69.0,30.333333333333332,11.270389515455305,75.0,0.025383542538354252,0.028738940547815266
