"name","longitude","latitude","power_gw","epoch","instrument","source_id","source","power_is_estimated","basis_column"
"PFd1731","-38.2","-27.7","68.26175082","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM022","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Janus Patera","-38.9","-4.6","524.24654634","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM023","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"PFu1410","-39.8","57","7.084900944","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM024","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"JRM025","-42.1","16.6","51.628977828","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM025","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"JRM026","-43.3","6.5","7.04516913","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM026","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"JRM027","-43.5","41.3","38.637056484","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM027","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"JRM028","-44.5","-30.5","6.766691922","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM028","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"PFu1239","-45.2","38.7","4.319389206","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM029","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"N Lei-Zi Fluctus","-47.3","22.3","8.81321274","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM030","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Gurzil Patera","-48","50.3","114.955115796","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM031","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"JRM032","-48.1","-50","160.693065306","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM032","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"JRM033","-48.4","17.2","6.180886008","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM033","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"PFu374","-49.7","-24","42.873785694","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM034","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"JRM035","-51.4","42.4","4.637829996","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM035","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"JRM036","-52","-1.4","71.140954716","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM036","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"JRM037","-52.2","-8.4","12.53703222","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM037","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"JRM038","-52.7","70.6","11.037468528","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM038","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Masubi","-55.1","-44.8","207.61325928","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM039","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"JRM040","-57.7","26.1","3.759133122","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM040","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"JRM041","-59.8","52.2","0.6790482","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM041","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Kotar Patera","-61","10.6","99.562818294","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM042","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Shamshu Patera","-62.8","-10.3","89.13267171","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM043","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"P232?","-63.1","18.8","4.12565823","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM044","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"P213","-63.8","-26.5","3.77540982","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM045","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Tonatiuh B","-65.5","56.5","82.182847284","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM046","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"P203","-71.8","-49.3","10.506855312","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM047","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"JRM048","-73","-83","104.661892116","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM048","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Zal Patera B","-73.1","39.9","105.363222714","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM256","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"P183","-74.5","34.5","10.059831684","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM049","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"P233","-75.3","21.1","8.43239475","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM051","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
