"name","longitude","latitude","power_gw","epoch","instrument","source_id","source","power_is_estimated","basis_column"
"Yeloje Patera A","-131.5","20","33.380454834","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM090","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Yeloje Patera B","-133","20.7","13.173024888","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM091","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"JRM092","-133.2","-2.5","4.553864262","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM092","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Tien Mu Patera","-134.3","11.9","2.317554","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM093","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Thor","-134.5","40","54.255372894","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM094","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"P165","-135.8","5.2","0.782745642","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM251","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Camaxtli Patera","-136.8","15.3","2.570706","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM258","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"P63","-137.3","35.3","34.844884704","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM095","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Ruaomoko Patera","-139.6","14.5","1.799254656","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM096","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Tupan Patera","-141.1","-18.9","479.85820308","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM097","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"P151","-141.4","39.2","9.154918728","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM098","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Mixcoatl Fluctus","-141.5","-45.8","235.4115816","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM099","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"PV3","-143.4","60.5","9.879606432","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM100","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"E. Surya","-145.6","22.3","25.372106118","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM101","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Arinna Fluctus","-148.6","31.1","18.413301132","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM102","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Sobo Fluctus","-150.5","14.1","20.464523028","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM103","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Shamash Patera","-152.4","-35.4","31.612175082","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM104","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Prometheus A","-152.5","-1.3","97.137210078","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM106","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"JRM105","-153.6","69.2","6.142216194","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM105","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Prometheus B","-155.3","-1.6","10.453773744","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM260","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Chaac Patera","-157","10.6","1.643505354","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM253","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Illyrikon C","-157.7","-64","3.213558072","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM107","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Tohil Patera","-157.8","-26.3","95.957646966","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM108","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Reshef Patera","-158.3","27.7","0.60103512","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM254","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"P243","-161.2","56.7","0.193471038","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM109","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Culann Patera","-161.9","-18.5","126.550475316","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM110","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"JRM111","-162.6","46","0.443324952","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM111","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Thomagata Patera","-165.5","25.5","0.944793666","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM112","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Michabo Patera","-168.5","0.9","0.52696512","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM252","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Volund B","-173.7","32.6","148.514411448","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM113","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Volund A","-174","26.5","84.007208628","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM114","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Odqan Patera","-174.4","-41.9","15.630264918","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM116","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Zamama","-174.4","18.8","34.488593748","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM115","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"JRM117","-176","49.5","1.871870742","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM117","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Wanajo Patera","-178.5","-59","46.472345568","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM118","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Illyrikon A","179","-74.7","13.719478734","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM119","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"P26","172.9","-5.9","28.353809898","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM120","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Fd1280","171.1","42.9","0.45701595","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM263","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"JRM255","170.2","-26.1","2.66573601","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM255","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Fo Patera A","169.2","42.7","12.888411192","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM121","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"P77","168.5","28","23.41049166","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM123","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Fo Patera B","167.8","40.8","4.201334964","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM122","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Illyrikon B","167.7","-79.2","6.63992127","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM124","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"P10","167.4","1.2","1.287702288","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM125","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Sethlaus Patera","166.2","-52","137.24050275","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM126","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"P139","163","-62.5","1.584150516","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM127","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"JRM128","160.9","82.5","2.858155056","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM128","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Rata Patera","160.5","-35.4","7.486463268","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM129","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"JRM130","158.8","70.1","0.552761442","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM130","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Gabija Patera","157.7","-52","91.331779194","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM131","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Lei-Kung J","157.7","49.4","7.449715764","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM132","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Lei-Kung A","157.3","40","42.221533536","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM133","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Lei-Kung B (P173 or P174)","156.3","42.9","33.717721752","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM134","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"P137","155.1","-55.8","79.53381621","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM249","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"P24","154.9","-3.8","2.774641626","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM135","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"NE Isum","153.6","32.6","141.446601414","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM265","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Lei-Kung L","153.4","67","3.168801378","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM136","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Isum Patera","151.5","29.8","213.33647502","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM137","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Lei-Kung N","151.1","38.9","0.79267482","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM138","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Lei-Kung G","149.4","46.8","4.287826566","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM139","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Marduk A","148.7","-24.9","932.51099736","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM140","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Lei-Kung H (PV13)","145.6","43.2","6.837160716","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM141","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Ot Patera","142.9","-1.5","195.05777796","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM142","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Mulungu Patera","142.5","16.9","42.42296223","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM143","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"P22","142.5","-10.1","5.527126422","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM144","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Marduk B","142.4","-26.9","458.16687882","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM145","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Kurdalagon Patera","142.2","-51.3","745.55107956","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM146","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Susanoo Patera","140.4","22.2","74.2775211","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM147","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Lei-Kung E","140.2","49.5","13.650679782","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM148","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"P171","139.4","30.6","5.609144196","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM149","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Lei-Kung F","139.2","59.8","4.159876266","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM150","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Lei-Kung O","134.4","44.6","0.977764014","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM250","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Wayland Patera","134.3","-32.6","7.264934208","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM152","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"PFu1128","130.3","29.7","43.044753582","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM153","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"P17","129.2","-4","17.786086884","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM154","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"P13","128.9","15.2","81.48254355","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM155","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"PFd454","128","-77","3.309911604","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM151","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Lei-Kung I","127.7","44","2.174402682","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM156","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Kami-Nari Patera","125.3","-9","9.817668396","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM157","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Reiden Patera","124.7","-13.4","67.88890098","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM158","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"East Girru","124.4","22","192.73583016","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM159","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Girru Patera","120.4","22.5","109.058664744","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM160","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Lei-Kung M","119.5","72.6","5.71563657","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM161","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Llew Patera","117.9","12","19.279607238","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM162","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"JRM163","117.8","-35.1","651.02652198","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM163","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Pillan Patera","117.1","-11.5","297.66599478","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM164","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Heiseb Patera","116.2","29.7","12.229369434","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM165","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Olafat Patera","115.9","-62.7","48.905846946","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM166","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Lei-Kung D","113","57.6","3.35172159","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM167","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Chors Patera","110.7","68.2","76.926932298","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM168","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"PFu1237","108.9","38.2","27.294673392","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM169","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"PV27","105.8","-38.6","1.501839612","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM170","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"JRM171","105.8","18.9","3.569542776","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM171","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Lei-Kung K","104.7","75.2","5.645409624","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM172","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Pele","104.3","-19","311.63934438","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM173","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"PV197","102.6","-25.7","39.398914764","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM174","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"PV32","100.4","37.2","3.920542668","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM175","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
