source_id,name,longitude,latitude,observation_time,wavelength_um,spectral_radiance,spectral_radiance_unit,source
077_g7i006tr_S7_S8_L10_n_converted_spectra_Loki_Patera_v01,Loki Patera,-51.20000000099998,12.6999999992,1997-04-05T05:09:40.00Z,0.9514,1969.26,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/077_g7i006tr_S7_S8_L10_n_converted_spectra_Loki_Patera_v01.csv
078_g8i009tr_S14_S15_L1_n_converted_spectra_Culann_region_v01,Culann region,161.5,19.9000000011,1997-05-06T22:49:51.00Z,0.8513,54.1889,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/078_g8i009tr_S14_S15_L1_n_converted_spectra_Culann_region_v01.csv
079_g8i010tr_S12_S13_L5_n_converted_spectra_Isum_Patera_v01,Isum Patera,-151.0,28.0000000031,1997-05-07T03:15:46.00Z,4.6546,40.233,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/079_g8i010tr_S12_S13_L5_n_converted_spectra_Isum_Patera_v01.csv
080_g8i010tr_S16_S17_L6_n_converted_spectra_Marduk_Fluctus_v01,Marduk Fluctus,-150.10000000000002,-28.3999999971,1997-05-07T03:15:46.00Z,5.0479,20.545,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/080_g8i010tr_S16_S17_L6_n_converted_spectra_Marduk_Fluctus_v01.csv
081_g8i014tr_S15_S16_L6_n_converted_spectra_Pillan_v01,Pillan,-116.0,-11.9999999984,1997-05-07T07:24:30.00Z,4.6282,249.052,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/081_g8i014tr_S15_S16_L6_n_converted_spectra_Pillan_v01.csv
082_g8i015tr_S11_S12_L5_n_converted_spectra_Pillan_v01,Pillan,-116.0,-11.9999999984,1997-05-07T07:28:33.00Z,4.6414,223.927,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/082_g8i015tr_S11_S12_L5_n_converted_spectra_Pillan_v01.csv
083_g8i016tr_S12_S13_L3_n_converted_spectra_Pele_v01,Pele GP2,-104.300000001,-18.3999999995,1997-05-07T10:29:32.00Z,0.9775,84.6288,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/083_g8i016tr_S12_S13_L3_n_converted_spectra_Pele_v01.csv
084_g8i016tr_S9_S10_L6_n_converted_spectra_Daedalus_P.-Shakuru_P._region_v01,Daedalus P.-Shakuru P. region GP14,-94.30000000400003,24.0999999992,1997-05-07T10:29:32.00Z,0.7797,240.205,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/084_g8i016tr_S9_S10_L6_n_converted_spectra_Daedalus_P.-Shakuru_P._region_v01.csv
085_g8i016tr_S13_S14_L4_n_converted_spectra_Babbar_P.-Ulgen_P._region_v01,Babbar P.-Ulgen P. region,-88.20000000099998,-39.3999999989,1997-05-07T10:29:32.00Z,0.9644,207.126,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/085_g8i016tr_S13_S14_L4_n_converted_spectra_Babbar_P.-Ulgen_P._region_v01.csv
086_g8i017tr_S12_S13_L5_n_converted_spectra_Pele_v01,Pele,-104.300000001,-18.3999999995,1997-05-07T10:35:36.00Z,0.9709,168.63,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/086_g8i017tr_S12_S13_L5_n_converted_spectra_Pele_v01.csv
087_g8i017tr_S11_S12_L4_n_converted_spectra_Pillan_v01,Pillan GP22,-116.0,-11.9999999984,1997-05-07T10:35:36.00Z,0.7016,1159.11,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/087_g8i017tr_S11_S12_L4_n_converted_spectra_Pillan_v01.csv
088_g8i011tr_S12_S13_L6_n_converted_spectra_Loki_Patera_v01,Loki Patera GP24,-51.20000000099998,12.6999999992,1997-05-07T11:15:02.00Z,0.7472,121.582,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/088_g8i011tr_S12_S13_L6_n_converted_spectra_Loki_Patera_v01.csv
089_g8i012tr_S13_S14_L2_n_converted_spectra_Acala_Fluctus_v01,Acala Fluctus GP16,-24.0,11.0000000028,1997-05-07T18:55:05.00Z,0.7602,206.645,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/089_g8i012tr_S13_S14_L2_n_converted_spectra_Acala_Fluctus_v01.csv
090_c9i004tr_S10_S11_L57_n_converted_spectra_Loki_Patera_3_v01,Loki Patera 3 GP6,-51.20000000099998,12.6999999992,1997-06-26T22:48:45.00Z,0.7602,895.254,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/090_c9i004tr_S10_S11_L57_n_converted_spectra_Loki_Patera_3_v01.csv
