"urn","start_date_time","stop_date_time","file_name","target_name","orbit_number","spatial_resolution_km_pixel","exposure_duration_sec","instrument_mode_id","line","line_samples","solar_planetocentric_latitude_deg","solar_planetocentric_longitude_deg","io_planetocentric_longitude_deg","io_planetocentric_latitude_deg","sub_point_radius_km","observer_distance_km","incidence_angle_deg","emission_angle_deg","phase_angle_deg","local_true_solar_time","file_size_mb"
"urn:nasa:pds:juno_jiram:data_calibrated:jir_img_rdr_2024034t175008_v01","2024-02-03T17:50:06.470Z","2024-02-03T17:50:06.472Z","JIR_IMG_RDR_2024034T175008_V01.LBL","IO","58","0.593","0.002","SCI_I1_S1","256","432","121.220","3.066","-0.417","-10.631","1828.928","2493.129","121.373","0.000","121.373","03:54:34","0.434"
"urn:nasa:pds:juno_jiram:data_calibrated:jir_spe_rdr_2024034t175010_v01","2024-02-03T17:50:06.470Z","2024-02-03T17:50:07.470Z","JIR_SPE_RDR_2024034T175010_V01.LBL","IO","58","","1","","","","121.220","3.066","-0.417","-10.631","1828.928","2493.129","121.373","0.000","121.373","03:54:34","0.34"
"urn:nasa:pds:juno_jiram:data_calibrated:jir_img_rdr_2024034t175039_v01","2024-02-03T17:50:36.934Z","2024-02-03T17:50:36.936Z","JIR_IMG_RDR_2024034T175039_V01.LBL","IO","58","0.744","0.002","SCI_I1_S1","256","432","121.148","3.066","6.041","-5.647","1829.155","3129.773","114.933","0.000","114.933","04:20:41","0.434"
"urn:nasa:pds:juno_jiram:data_calibrated:jir_spe_rdr_2024034t175040_v01","2024-02-03T17:50:36.934Z","2024-02-03T17:50:37.934Z","JIR_SPE_RDR_2024034T175040_V01.LBL","IO","58","","1","","","","121.148","3.066","6.041","-5.647","1829.155","3129.773","114.933","0.000","114.933","04:20:41","0.34"
"urn:nasa:pds:juno_jiram:data_calibrated:jir_img_rdr_2024034t175109_v01","2024-02-03T17:51:07.398Z","2024-02-03T17:51:07.400Z","JIR_IMG_RDR_2024034T175109_V01.LBL","IO","58","0.914","0.002","SCI_I1_S1","256","432","121.076","3.066","10.850","-1.810","1829.029","3844.666","109.897","0.000","109.897","04:40:12","0.434"
"urn:nasa:pds:juno_jiram:data_calibrated:jir_spe_rdr_2024034t175111_v01","2024-02-03T17:51:07.398Z","2024-02-03T17:51:08.398Z","JIR_SPE_RDR_2024034T175111_V01.LBL","IO","58","","1","","","","121.076","3.066","10.850","-1.810","1829.029","3844.666","109.897","0.000","109.897","04:40:12","0.34"
"urn:nasa:pds:juno_jiram:data_calibrated:jir_img_rdr_2024034t175140_v01","2024-02-03T17:51:37.863Z","2024-02-03T17:51:37.865Z","JIR_IMG_RDR_2024034T175140_V01.LBL","IO","58","1.097","0.002","SCI_I1_S1","256","432","121.004","3.066","14.515","1.151","1828.762","4611.725","105.967","0.000","105.967","04:55:09","0.434"
"urn:nasa:pds:juno_jiram:data_calibrated:jir_spe_rdr_2024034t175141_v01","2024-02-03T17:51:37.863Z","2024-02-03T17:51:38.863Z","JIR_SPE_RDR_2024034T175141_V01.LBL","IO","58","","1","","","","121.004","3.066","14.515","1.151","1828.762","4611.725","105.967","0.000","105.967","04:55:09","0.34"
"urn:nasa:pds:juno_jiram:data_calibrated:jir_img_rdr_2024034t175210_v01","2024-02-03T17:52:08.327Z","2024-02-03T17:52:08.329Z","JIR_IMG_RDR_2024034T175210_V01.LBL","IO","58","1.287","0.002","SCI_I1_S1","256","432","120.932","3.066","17.372","3.464","1828.455","5414.290","102.865","0.000","102.865","05:06:52","0.434"
"urn:nasa:pds:juno_jiram:data_calibrated:jir_spe_rdr_2024034t175212_v01","2024-02-03T17:52:08.327Z","2024-02-03T17:52:09.327Z","JIR_SPE_RDR_2024034T175212_V01.LBL","IO","58","","1","","","","120.932","3.066","17.372","3.464","1828.455","5414.290","102.865","0.000","102.865","05:06:52","0.34"
"urn:nasa:pds:juno_jiram:data_calibrated:jir_img_rdr_2024034t175241_v01","2024-02-03T17:52:38.790Z","2024-02-03T17:52:38.792Z","JIR_IMG_RDR_2024034T175241_V01.LBL","IO","58","1.484","0.002","SCI_I1_S1","256","432","120.860","3.066","19.647","5.303","1828.153","6241.729","100.379","0.000","100.379","05:16:15","0.434"
"urn:nasa:pds:juno_jiram:data_calibrated:jir_spe_rdr_2024034t175242_v01","2024-02-03T17:52:38.790Z","2024-02-03T17:52:39.790Z","JIR_SPE_RDR_2024034T175242_V01.LBL","IO","58","","1","","","","120.860","3.066","19.647","5.303","1828.153","6241.729","100.379","0.000","100.379","05:16:15","0.34"
"urn:nasa:pds:juno_jiram:data_calibrated:jir_img_rdr_2024034t175311_v01","2024-02-03T17:53:09.255Z","2024-02-03T17:53:09.257Z","JIR_IMG_RDR_2024034T175311_V01.LBL","IO","58","1.685","0.002","SCI_I1_S1","256","432","120.788","3.066","21.492","6.791","1827.874","7087.173","98.354","0.000","98.354","05:23:55","0.434"
"urn:nasa:pds:juno_jiram:data_calibrated:jir_spe_rdr_2024034t175313_v01","2024-02-03T17:53:09.255Z","2024-02-03T17:53:10.255Z","JIR_SPE_RDR_2024034T175313_V01.LBL","IO","58","","1","","","","120.788","3.066","21.492","6.791","1827.874","7087.173","98.354","0.000","98.354","05:23:55","0.34"
"urn:nasa:pds:juno_jiram:data_calibrated:jir_img_rdr_2024034t175342_v01","2024-02-03T17:53:39.719Z","2024-02-03T17:53:39.721Z","JIR_IMG_RDR_2024034T175342_V01.LBL","IO","58","1.889","0.002","SCI_I1_S1","256","432","120.715","3.066","23.012","8.013","1827.622","7945.873","96.680","0.000","96.680","05:30:17","0.434"
"urn:nasa:pds:juno_jiram:data_calibrated:jir_spe_rdr_2024034t175343_v01","2024-02-03T17:53:39.719Z","2024-02-03T17:53:40.719Z","JIR_SPE_RDR_2024034T175343_V01.LBL","IO","58","","1","","","","120.715","3.066","23.012","8.013","1827.622","7945.873","96.680","0.000","96.680","05:30:17","0.34"
"urn:nasa:pds:juno_jiram:data_calibrated:jir_img_rdr_2024034t175412_v01","2024-02-03T17:54:10.183Z","2024-02-03T17:54:10.185Z","JIR_IMG_RDR_2024034T175412_V01.LBL","IO","58","2.096","0.002","SCI_I1_S1","256","432","120.643","3.066","24.281","9.032","1827.399","8814.635","95.276","0.000","95.276","05:35:39","0.434"
"urn:nasa:pds:juno_jiram:data_calibrated:jir_spe_rdr_2024034t175414_v01","2024-02-03T17:54:10.183Z","2024-02-03T17:54:11.183Z","JIR_SPE_RDR_2024034T175414_V01.LBL","IO","58","","1","","","","120.643","3.066","24.281","9.032","1827.399","8814.635","95.276","0.000","95.276","05:35:39","0.34"
"urn:nasa:pds:juno_jiram:data_calibrated:jir_img_rdr_2024034t175443_v01","2024-02-03T17:54:40.647Z","2024-02-03T17:54:40.649Z","JIR_IMG_RDR_2024034T175443_V01.LBL","IO","58","2.304","0.002","SCI_I1_S1","256","432","120.571","3.066","25.352","9.893","1827.201","9691.181","94.084","0.000","94.084","05:40:13","0.434"
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
